2021-09-08 11:37:52.993 INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8888 (http) with context path ''
2021-09-08 11:37:53.016 INFO  com.xtw.bridge.BridgeonzhoudaiApplication - Started BridgeonzhoudaiApplication in 6.063 seconds (JVM running for 7.078)
2021-09-08 11:39:05.672 INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2021-09-08 11:39:05.673 INFO  org.springframework.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2021-09-08 11:39:05.675 INFO  org.springframework.web.servlet.DispatcherServlet - Completed initialization in 2 ms
2021-09-08 12:11:35.311 INFO  org.hibernate.validator.internal.util.Version - HV000001: Hibernate Validator 5.2.4.Final
2021-09-08 12:11:35.319 INFO  com.xtw.bridge.BridgeonzhoudaiApplication - Starting BridgeonzhoudaiApplication using Java 1.8.0_261 on DESKTOP-CJ6RO9E with PID 5268 (D:\software\IDEAAllProj\Spring\bridge_zhoudai\target\classes started by admin in D:\software\IDEAAllProj\collect_zhoudai)
2021-09-08 12:11:35.319 INFO  com.xtw.bridge.BridgeonzhoudaiApplication - The following profiles are active: dev
2021-09-08 12:11:35.372 INFO  o.s.b.d.env.DevToolsPropertyDefaultsPostProcessor - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2021-09-08 12:11:35.372 INFO  o.s.b.d.env.DevToolsPropertyDefaultsPostProcessor - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
2021-09-08 12:11:36.917 INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8888 (http)
2021-09-08 12:11:36.925 INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8888"]
2021-09-08 12:11:36.926 INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2021-09-08 12:11:36.926 INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.46]
2021-09-08 12:11:37.058 INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2021-09-08 12:11:37.060 INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1688 ms
2021-09-08 12:11:39.463 INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
2021-09-08 12:11:39.817 INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
2021-09-08 12:11:39.970 INFO  o.s.security.web.DefaultSecurityFilterChain - Will secure any request with [org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@10c2205d, org.springframework.security.web.context.SecurityContextPersistenceFilter@367f3d95, org.springframework.security.web.header.HeaderWriterFilter@12cd364, org.springframework.web.filter.CorsFilter@7806f20b, org.springframework.security.web.authentication.logout.LogoutFilter@370af688, com.xtw.bridge.filter.JwtAuthenticationTokenFilter@6bf5271d, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@14e0779, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@5d3a6a68, org.springframework.security.web.authentication.rememberme.RememberMeAuthenticationFilter@1dd7d22e, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@227a570a, org.springframework.security.web.session.SessionManagementFilter@6074f4d1, org.springframework.security.web.access.ExceptionTranslationFilter@54f94352, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@36ac6d91]
2021-09-08 12:11:40.010 INFO  o.s.b.d.autoconfigure.OptionalLiveReloadServer - LiveReload server is running on port 35729
2021-09-08 12:11:40.032 INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8888"]
2021-09-08 12:11:40.048 INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8888 (http) with context path ''
2021-09-08 12:11:40.058 INFO  com.xtw.bridge.BridgeonzhoudaiApplication - Started BridgeonzhoudaiApplication in 5.382 seconds (JVM running for 6.323)
2021-09-08 12:12:10.447 INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2021-09-08 12:12:10.449 INFO  org.springframework.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2021-09-08 12:12:10.450 INFO  org.springframework.web.servlet.DispatcherServlet - Completed initialization in 1 ms
2021-09-08 12:12:49.559 INFO  org.hibernate.validator.internal.util.Version - HV000001: Hibernate Validator 5.2.4.Final
2021-09-08 12:12:49.564 INFO  com.xtw.bridge.BridgeonzhoudaiApplication - Starting BridgeonzhoudaiApplication using Java 1.8.0_261 on DESKTOP-CJ6RO9E with PID 11456 (D:\software\IDEAAllProj\Spring\bridge_zhoudai\target\classes started by admin in D:\software\IDEAAllProj\collect_zhoudai)
2021-09-08 12:12:49.565 INFO  com.xtw.bridge.BridgeonzhoudaiApplication - The following profiles are active: dev
2021-09-08 12:12:49.630 INFO  o.s.b.d.env.DevToolsPropertyDefaultsPostProcessor - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2021-09-08 12:12:49.630 INFO  o.s.b.d.env.DevToolsPropertyDefaultsPostProcessor - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
2021-09-08 12:12:51.903 INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8888 (http)
2021-09-08 12:12:51.935 INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8888"]
2021-09-08 12:12:51.937 INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2021-09-08 12:12:51.939 INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.46]
2021-09-08 12:12:52.141 INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2021-09-08 12:12:52.141 INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 2510 ms
